Date,Plot,Fence,Weeded,Subplot - #,Present?,How many?,note,
06/21/2018,3,C,Y,9-214a,y,2,not whole,
06/21/2018,3,C,Y,4-256,n,0.5,,
06/21/2018,3,C,Y,3-257,y,1.5,,
06/21/2018,3,C,Y,9-617a,y,1,,
06/21/2018,3,C,Y,?-618,n,0,destroyed,
06/21/2018,3,C,Y,4-623,n,0,destroyed,
06/21/2018,3,C,Y,1-663,n,0,dust,
06/21/2018,3,C,Y,4-676,n,0,destroyed,
06/21/2018,3,C,Y,4-688,y,1,not whole,
06/21/2018,3,C,Y,4-694,y,1 - broken,,
06/25/2018,4,C,N,14-2552,n,0,dust,
06/25/2018,4,C,N,20-4171,n,0,dust,
06/25/2018,4,C,N,20-1577,n,0,dust,
06/25/2018,4,C,N,20-933,n,0,dust,
06/25/2018,4,C,N,14-685,y,0.5,,
06/21/2018,3,C,N,2-696,y,1,not whole,
06/21/2018,4,C,N,16-85a,n,0,dust,
06/25/2018,4,C,N,23-6065b,n,0,dust,
06/25/2018,4,C,N,23-6065a,n,0,dust,
06/25/2018,4,C,N,14-5472,n,0,dust,
06/25/2018,4,C,N,30-5429,n,0,dust,
06/25/2018,4,C,N,31-4296,y,0.5,,
06/25/2018,4,C,N,28-4291,y,0.5,,
06/29/2018,4,E,N,21-2664,y,2,,
06/26/2018,4,E,N,21-2689,y,2,,
06/29/2018,4,E,N,21-2788a,y,2,,
06/29/2018,4,E,N,31-4168,y,2 - 1 broken,,
06/29/2018,4,E,N,31-4180,n,0,destroyed,
06/24/2018,4,E,N,31-76,y,2,,
06/29/2018,4,E,N,21-48b,y,2,,
06/29/2018,4,E,N,21-48a,y,2,,
06/29/2018,4,E,N,31-4140,y,2,,
06/26/2018,4,E,N,25-5074,y,2,,
06/29/2018,4,E,N,31-5045,y,2,,
06/29/2018,4,E,N,31-4740,y,2,,
06/29/2018,4,E,N,NA-4193,y,1 - broken,,
06/28/2018,5,E,N,36-2616,y,0.5,,
06/26/2018,7,C,Y,25-107,n,0,dust,
06/26/2018,7,C,Y,21-5445,n,0,dust,
06/26/2018,7,C,Y,10-4910,n,0,dust,
06/25/2018,6,C,N,34-2856,y,0.5,,
06/25/2018,6,C,N,35-2874,y,2,,
06/24/2018,6,C,N,16-2167,n,0,dust,
06/25/2018,6,C,N,16-2114a,n,0,dust,
06/25/2018,6,C,N,25-1808,y,0.5,,
06/25/2018,6,C,N,27-1590,y,5,,
06/25/2018,6,C,N,33-1509,n,0,dust,
06/25/2018,6,C,N,16-6440,y,1 - broken,,
06/25/2018,6,C,N,32-6414,n,0,destroyed,
06/25/2018,6,C,N,26-5980,y,1,,
06/25/2018,6,C,N,16-5914,y,0.5,,
06/25/2018,6,C,N,28-5781,y,0.5,,
06/25/2018,6,C,N,33-5776a,y,1-broken,,
06/25/2018,6,C,N,33-5481,n,0,dust,
06/25/2018,6,C,N,33-5455,y,2 - 1 broken,,
06/25/2018,6,C,N,16-5127,y,0.5,,
06/25/2018,6,C,N,16-5116,y,1,,
06/25/2018,6,C,N,16-5112,n,0,dust,
06/25/2018,6,C,N,16-5106,n,0,dust,
06/25/2018,6,C,N,32-4611a,n,0,destroyed,
06/25/2018,6,C,N,33-4208a,n,0,destroyed,
06/25/2018,6,C,N,16-4202,n,0,dust,
06/28/2018,5,E,N,23-1476,n,0,dust,
06/28/2018,5,E,N,17-1432,n,0,dust,
06/28/2018,5,E,N,23-1431,n,0,dust,
06/28/2018,5,E,N,3-631,n,0,dust,
06/28/2018,5,E,N,3-608,n,0,dust,
06/28/2018,5,E,N,23-5657,n,0,dust,
06/28/2018,5,E,N,36-5517b,n,0,destroyed,
06/28/2018,5,E,N,36-5517a,n,0,dust,
06/28/2018,5,E,N,23-4781,n,0,dust,
06/28/2018,5,E,N,36-5052,n,0,dust,
06/28/2018,5,E,N,17-1499,n,0,dust,
06/28/2018,5,E,N,3-3960,n,0,dust,
